Include,Relevance,Index,Title,Authors,source,Title_lowercase,StudyType,Age_class,Start_time,End_time,Season,Driver,Response_type,EffectSize_d,Sampling_method,Location,Effect_type_original,Value_original,stuff for effect size conv,
Yes,,111,Patterns of habitat use by newly settled red snapper in the northwestern Gulf of Mexico,"Geary, Bert W.; Mikulas, Joseph J., Jr.; Rooker, Jay R.; Landry, Andre M., Jr.; Dellapenna, Timothy M.",wb3,patterns of habitat use by newly settled red snapper in the northwestern gulf of mexico,bottom type,juvenile,2003,2004,july-sept,"habitat (inshore, ridge, offshore)",density,,trawl,95 18'W 28 44'N; 94 09'W 29 07'N; 93 59'W 29 22'N;,Anova,"Surveyed 3 sites, saw effect at 1 site: P=.354 power=0.126; P = 0.259, power=0.288; P=0.009",,Higher density at offshore habitat at 1 of 3 sites
Yes,,111,Patterns of habitat use by newly settled red snapper in the northwestern Gulf of Mexico,"Geary, Bert W.; Mikulas, Joseph J., Jr.; Rooker, Jay R.; Landry, Andre M., Jr.; Dellapenna, Timothy M.",wb3,patterns of habitat use by newly settled red snapper in the northwestern gulf of mexico,bottom type,juvenile,2003,2004,july-sept,date,density,,trawl,96 18'W 28 44'N; 94 09'W 29 07'N; 93 59'W 29 22'N;,Anova,"Surveyed 3 sites, saw effect at 1 site: P=.618 power=0.126, P=0.568 pwr = 0.229; P=0.023 ",,
Yes,,115,A comparison of size and age of red snapper (Lutjanus campechanus) with the age of artificial reefs in the northern Gulf of Mexico,"Syc, Tara S.; Szedlmayer, Stephen T.",wb3,a comparison of size and age of red snapper (lutjanus campechanus) with the age of artificial reefs in the northern gulf of mexico,Artificial Reef,Adult,Apr-10,Nov-10,,Reef Age,CPUE,,Hook and line,"30 N, 88 W",Anova F-value,"F2,34= 20.38, P<0.0001",,
Yes,,115,A comparison of size and age of red snapper (Lutjanus campechanus) with the age of artificial reefs in the northern Gulf of Mexico,"Syc, Tara S.; Szedlmayer, Stephen T.",wb3,a comparison of size and age of red snapper (lutjanus campechanus) with the age of artificial reefs in the northern gulf of mexico,Artificial Reef,Adult,Apr-10,Nov-10,,Reef Age,CPUE,,Trap,"30 N, 88 W",Anova F-value,"F2,34= 0.6, P=0.55",No significant effect,
Yes,,115,A comparison of size and age of red snapper (Lutjanus campechanus) with the age of artificial reefs in the northern Gulf of Mexico,"Syc, Tara S.; Szedlmayer, Stephen T.",wb3,a comparison of size and age of red snapper (lutjanus campechanus) with the age of artificial reefs in the northern gulf of mexico,Artificial Reef,Age-1,Apr-10,Nov-10,,Reef Age,CPUE,,Visual counts,"30 N, 88 W","Anova F-value, pearson's correlation","F2,27= 4.25, P<0.025; Pearson’s CorCoef [r]=0.48,
P=0.008)",,
Yes,,71,"A Comparison of Size Structure, Age, and Growth of Red Snapper from Artificial and Natural Habitats in the Western Gulf of Mexico","Streich, Matthew K.; Ajemian, Matthew J.; Wetz, Jennifer J.; Williams, Jason A.; Shipley, J. Brooke; Stunz, Gregory W.",wb2,"a comparison of size structure, age, and growth of red snapper from artificial and natural habitats in the western gulf of mexico",Artificial Reef,Adult,Oct-14,Oct-14,,Artificial reef vs. natural banks,CPUE,,Vertical line,"96W, 27 30N",Anova,"F2, 6 = 0.04, P = 0.960",,
Yes,,106,An Analysis of Artificial Reef Fish Community Structure along the Northwestern Gulf of Mexico Shelf: Potential Impacts of Rigs-to-Reefs Programs,"Ajemian, Matthew J.; Wetz, Jennifer J.; Shipley-Lozano, Brooke; Shively, J. Dale; Stunz, Gregory W.",wb3,an analysis of artificial reef fish community structure along the northwestern gulf of mexico shelf: potential impacts of rigs-to-reefs programs,,Adult (>1 year),Apr-12,Oct-13,April-October,Artificial reef structure type,CPUE,,Vertical longline,Texas shelf,Kruskal-Wallis H-value,"H = 4.242; P = 0.374, n=122 samples",No significant effect,
Yes,,106,An Analysis of Artificial Reef Fish Community Structure along the Northwestern Gulf of Mexico Shelf: Potential Impacts of Rigs-to-Reefs Programs,"Ajemian, Matthew J.; Wetz, Jennifer J.; Shipley-Lozano, Brooke; Shively, J. Dale; Stunz, Gregory W.",wb3,an analysis of artificial reef fish community structure along the northwestern gulf of mexico shelf: potential impacts of rigs-to-reefs programs,,Adult (>1 year),Apr-12,Oct-13,April-October,Artificial reef structure type,Biomass,,Vertical longline,Texas shelf,Anova F-value,"F4,111 = 8.219; P < 0.001",,
Maybe,,199,Reduction of juvenile red snapper bycatch in the US Gulf of Mexico shrimp trawl fishery,"Gallaway, Benny J.,Cole, John G.",gs1,reduction of juvenile red snapper bycatch in the us gulf of mexico shrimp trawl fishery,bycatch,Juvenile,1992,1996,all,Use of bycatch reduction device,CPUE,,Shrimp trawl observer data from NMFS,"GOM continental shelf, from alabama west.",% reduction,26.228% reduction,,
Yes,,6,Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, JR; Landry, AM; Geary, BW; Harper, JA",wb1,assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,bottom type,Juvenile,2000,2001,summer,"habitat (inshore, shell bank, offshore)",Abundance,,trawl," W 95°18?, N 28°44? (Freeport Rocks Bathymetric High)",ANCOVA,p=0.007,lowest mortality inshore,
Yes,,6,Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, JR; Landry, AM; Geary, BW; Harper, JA",wb1,assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,bottom type,Juvenile,2000,2001,summer,"region (northern, central, or southern)",density,,trawl," W 95°18?, N 28°44? (Freeport Rocks Bathymetric High)",ANCOVA,p=0.011,highest density at shell bank,
Yes,,6,Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, JR; Landry, AM; Geary, BW; Harper, JA",wb1,assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,bottom type,Juvenile,2000,2001,summer,Date,density,,trawl," W 95°18?, N 28°44? (Freeport Rocks Bathymetric High)",ANCOVA,p<0.001,highest density at shell bank,
Yes,,93,Delineating juvenile red snapper habitat on the northern Gulf of Mexico continental shelf,"Patterson, WF; Wilson, CA; Bentley, SJ; Cowan, JH; Henwood, T; Allen, YC; Dufrene, TA",wb3,delineating juvenile red snapper habitat on the northern gulf of mexico continental shelf,bottom type,Juvenile,1991,2000,all,sponge density,CPUE,,SEAMAP trawls,"W 89°, N 30° 10', to W 88° N29°",Anova,"Pearson's R =0.71, p<0.001",significant in 1 of 40 cells,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,pyramid reef depth,CPUE,,hook & line,"-88 W, 30N","regression, R2","R2 = 0.43, P=0.02","higher CPUE with depth for pyramid reefs,Used GLM with reef type as fixed factor",
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,tank reef depth,CPUE,,hook & line,"-88 W, 30N","regression, R2","R2 = 0.63, P=0.003","lower CPUE with depth for tank reefs,Used GLM with reef type as fixed factor",
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,reef depth,CPUE,,hook & line,"-88 W, 30N",Chi-square,"df = 3, X2 = 11.43, P=0.01",Used GLM with reef type as fixed factor,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,reef type,CPUE,,hook & line,"-88 W, 30N",Chi-square,"df = 3, X2 = 14.32, P=0.003","higher CPUE on pyramids than on other reef types, Used GLM with reef type as fixed factor",
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,reef type,CPUE,,Trap,"-88 W, 30N",Chi-square,"df = 3, X2 = 3.02, P=0.03","higher CPUE on small unpublished reefs than on other reef types, Used GLMM with reef type as fixed factor",
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,tank reef depth,CPUE,,Trap,"-88 W, 30N",Chi-square,"df = 3, X2 = 4.96, P=0.032",lower CPUE on tanks with depth Used GLMM with reef type as fixed factor,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult & post-recruit,Dec-11,Oct-13,all,reef type,density,,Diver survey,"-88 W, 30N",Chi-square,"df = 3, X2 = 1.95, P=0.58",no significant effect of reef type on total red snapper density,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult & post-recruit,Dec-11,Oct-13,all,reef depth,density,,Diver survey,"-88 W, 30N",Chi-square,"df = 1, X2 = 1.3, P=0.25",no significant effect of reef depth on total red snapper density,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Post-recruit,Dec-11,Oct-13,all,pyramid reef depth,density,,Diver survey,"-88 W, 30N","regression, R2","R2 = 0.44, P=0.04",significant increase in post recruit densities on pyramid reefs with depth,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Post-recruit,Dec-11,Oct-13,all,tank reef depth,density,,Diver survey,"-88 W, 30N","regression, R2","R2 = 0.88, P<0.001",significant decrease in post recruit densities on tank reefs with depth,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Post-recruit,Dec-11,Oct-13,all,large reef depth,density,,Diver survey,"-88 W, 30N","regression, R2","R2 = 0.32, P=0.06",marginally significant decrease in post recruit densities on large reefs with depth,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,time of year,CPUE,,hook & line,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.54, P=0.46",no significant effect of time of year,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,time of year,CPUE,,trap,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.20, P=0.66",no significant effect of time of year,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,time of year,density,,Diver survey,"-88 W, 30N",Chi-square,"df = 1, X2 = 1.88, P=0.16",no significant effect of time of year,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,proximity to other reefs,CPUE,,hook & line,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.95, P=0.33",no significant effect of proximity to other reefs,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,proximity to other reefs,CPUE,,trap,"-88 W, 30N",Chi-square,"df = 1, X2 = 1.23, P=0.27",no significant effect of proximity to other reefs,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,proximity to other reefs,density,,Diver survey,"-88 W, 30N",Chi-square,"df = 1, X2 = 2.14, P=0.14",no significant effect of proximity to other reefs,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,age of pyramid reef,density,,Diver survey,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.08, P=0.78",no significant effect of reef age,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,age of big reef reef,density,,Diver survey,"-88 W, 30N",Chi-square,"df = 1, X2 = 3.21, P=0.07",no significant effect of reef age,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,age of pyramid reef,CPUE,,trap,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.80, P=0.38",no significant effect of reef age,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,age of big reef,CPUE,,trap,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.98, P=0.33",no significant effect of reef age,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,age of pyramid reef,CPUE,,hook & line,"-88 W, 30N",Chi-square,"df = 1, X2 = 2.19, P=0.14",no significant effect of reef age,
Yes,,41,Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico,"Jaxion-Harm, J.; Szedlmayer, S. T.",wb1,depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,Artificial Reef,Adult,Dec-11,Oct-13,all,age of big reef,CPUE,,hook & line,"-88 W, 30N",Chi-square,"df = 1, X2 = 0.00, P=0.96",no significant effect of reef age,
Yes,,13,Effect of trawling on juvenile red snapper (Lutjanus campechanus) habitat selection and life history parameters,"Wells, R. J. David; Cowan, James H., Jr.; Patterson, William F., III; Walters, Carl J.",wb1,effect of trawling on juvenile red snapper (lutjanus campechanus) habitat selection and life history parameters,,,,,,,,,,,,,,
Yes,,94,Effects of habitat complexity and predator exclusion on the abundance of juvenile red snapper,"Piko, A. A.; Szedlmayer, S. T.",wb3,effects of habitat complexity and predator exclusion on the abundance of juvenile red snapper,,,,,,,,,,,,,,
Yes,,28,Estimates of shrimp trawl bycatch of red snapper (Lutjanus campechanus) in the Gulf of Mexico,"Gallaway, BJ; Longnecker, M; Cole, JG; Meyer, RM",wb1,estimates of shrimp trawl bycatch of red snapper (lutjanus campechanus) in the gulf of mexico,,,,,,,,,,,,,,
Yes,,101,Fine-Scale Movements and Home Ranges of Red Snapper around Artificial Reefs in the Northern Gulf of Mexico,"Piraino, Maria N.; Szedlmayer, Stephen T.",wb3,fine-scale movements and home ranges of red snapper around artificial reefs in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,91,Habitat preferences and site fidelity of juvenile red snapper (Lutjanus campechanus),"Workman, I; Shah, A; Foster, D; Hataway, B",wb3,habitat preferences and site fidelity of juvenile red snapper (lutjanus campechanus),,,,,,,,,,,,,,
Yes,,33,Habitat use and the effect of shrimp trawling on fish and invertebrate communities over the northern Gulf of Mexico continental shelf,"Wells, R. J. David; Cowan, James H., Jr.; Patterson, William F., III",wb1,habitat use and the effect of shrimp trawling on fish and invertebrate communities over the northern gulf of mexico continental shelf,,,,,,,,,,,,,,
Yes,,125,"Habitat Use by Juvenile Red Snapper in the Northern Gulf of Mexico: Ontogeny, Seasonality, and the Effects of Hypoxia","Switzer, Theodore S.; Chesney, Edward J.; Baltz, Donald M.",wb3,"habitat use by juvenile red snapper in the northern gulf of mexico: ontogeny, seasonality, and the effects of hypoxia",,,,,,,,,,,,,,
Yes,,121,"Influence of Age-1 Conspecifics, Sediment Type, Dissolved Oxygen, and the Deepwater Horizon Oil Spill on Recruitment of Age-0 Red Snapper in the Northeast Gulf of Mexico during 2010 and 2011","Szedlmayer, Stephen T.; Mudrak, Peter A.",wb3,"influence of age-1 conspecifics, sediment type, dissolved oxygen, and the deepwater horizon oil spill on recruitment of age-0 red snapper in the northeast gulf of mexico during 2010 and 2011",,,,,,,,,,,,,,
Yes,,9,Influence of reef location on artificial-reef fish assemblages in the northcentral Gulf of Mexico,"Strelcheck, AJ; Cowan, JH; Shah, A",wb1,influence of reef location on artificial-reef fish assemblages in the northcentral gulf of mexico,,,,,,,,,,,,,,
Yes,,38,Influences of Artificial Reefs on Juvenile Red Snapper along the Mississippi Gulf Coast,"Brandt, Jason R.; Jackson, Donald C.",wb1,influences of artificial reefs on juvenile red snapper along the mississippi gulf coast,,,,,,,,,,,,,,
Yes,,205,"Movement and growth of red snapper, Lutjanus campechanus, from an artificial reef area in the northeastern Gulf of Mexico","Szedlmayer, Stephen T.,Shipp, Robert L.",gs1,"movement and growth of red snapper, lutjanus campechanus, from an artificial reef area in the northeastern gulf of mexico",,,,,,,,,,,,,,
Yes,,77,"Nursery habitats, growth rates, and seasonality of age-0 red snapper, Lutjanus campechanus, in the northeast Gulf of Mexico","Szedlmayer, ST; Conti, J",wb3,"nursery habitats, growth rates, and seasonality of age-0 red snapper, lutjanus campechanus, in the northeast gulf of mexico",,,,,,,,,,,,,,
Yes,,103,Proximity Effects of Larger Resident Fishes on Recruitment of Age-0 Red Snapper in the Northern Gulf of Mexico,"Mudrak, Peter A.; Szedlmayer, Stephen T.",wb3,proximity effects of larger resident fishes on recruitment of age-0 red snapper in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,146,Reducing bycatch in the United States Gulf of Mexico shrimp trawl fishery with an emphasis on red snapper bycatch reduction,"Parsons, Glenn R.; Foster, Daniel G.",wb3,reducing bycatch in the united states gulf of mexico shrimp trawl fishery with an emphasis on red snapper bycatch reduction,,,,,,,,,,,,,,
Yes,,107,Regional differences in the age and growth of red snapper (Lutjanus campechanus) in the US Gulf of Mexico,"Saari, Courtney R.; Cowan, James H., Jr.; Boswell, Kevin M.",wb3,regional differences in the age and growth of red snapper (lutjanus campechanus) in the us gulf of mexico,,,,,,,,,,,,,,
Yes,,194,Seasonal and spatial variation in the abundance and size distribution of fishes associated with a petroleum platform in the northern Gulf of Mexico,"Stanley, David R.,Wilson, Charles A.",gs1,seasonal and spatial variation in the abundance and size distribution of fishes associated with a petroleum platform in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,24,Seasonal and spatial variation in the biomass and size frequency distribution of fish associated with oil and gas platforms in the northern Gulf of Mexico,"Stanley, DR; Wilson, CA",wb1,seasonal and spatial variation in the biomass and size frequency distribution of fish associated with oil and gas platforms in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,130,Spatial and Dietary Overlap Creates Potential for Competition between Red Snapper (Lutjanus campechanus) and Vermilion snapper (Rhomboplites aurorubens),"Davis, William T.; Drymon, J. Marcus; Powers, Sean P.",wb3,spatial and dietary overlap creates potential for competition between red snapper (lutjanus campechanus) and vermilion snapper (rhomboplites aurorubens),,,,,,,,,,,,,,
Yes,,97,The effects of epibenthic communities on reef fishes in the northern Gulf of Mexico,"Redman, R. A.; Szedlmayer, S. T.",wb3,the effects of epibenthic communities on reef fishes in the northern gulf of mexico,,,,,,,,,,,,,,
Yes,,81,The influence of habitat complexity on reef fish communities in the northeastern Gulf of Mexico,"Lingo, Mark E.; Szedlmayer, Stephen T.",wb3,the influence of habitat complexity on reef fish communities in the northeastern gulf of mexico,,,,,,,,,,,,,,
Yes,,51,The Potential for Unreported Artificial Reefs to Serve as Refuges from Fishing Mortality for Reef Fishes,"Addis, Dustin T.; Patterson, William F., III; Dance, Michael A.",wb1,the potential for unreported artificial reefs to serve as refuges from fishing mortality for reef fishes,,,,,,,,,,,,,,
Yes,,137,Using Fish Population Metrics to Compare the Effects of Artificial Reef Density,"Froehlich, Catheline Y. M.; Kline, Richard J.",wb3,using fish population metrics to compare the effects of artificial reef density,,,,,,,,,,,,,,
Yes,,102,"Video estimates of red snapper and associated fish assemblages on sand, shell, and natural reef habitats in the north-central Gulf of Mexico","Wells, R. J. David; Cowan, James H., Jr.",wb3,"video estimates of red snapper and associated fish assemblages on sand, shell, and natural reef habitats in the north-central gulf of mexico",,,,,,,,,,,,,,
